state,year,state_tax_per_pack,price_per_pack,pack_sales_per_capita
PA,2014,1.6,6.463,50.8
TX,1974,0.185,0.506,114.7
GA,2001,0.12,3.069,85.9
DC,1981,0.13,0.748,131.9
RI,2013,3.5,8.219,35.3
ME,2004,1,4.057,72.4
AR,1980,0.1775,0.647,131.8
WI,2013,2.52,7.421,39.8
UT,1999,0.515,3.129,43.9
DC,2010,2.5,7.13,23.1
AL,1996,0.165,1.674,101.4
DE,2000,0.24,2.887,140.7
WY,1975,0.08,0.426,160.7
NY,1975,0.15,0.542,123.9
MD,1992,0.16,1.937,91.7
MI,1977,0.11,0.54,140.3
NY,1993,0.39,2.077,78.2
